"quarter","data_center_consumption","total_consumption","consumption_usage"
"2015Q1",291,6565,4.43
"2015Q2",304,6086,5.00
"2015Q3",316,5783,5.46
"2015Q4",329,6165,5.34
"2016Q1",341,6651,5.13
"2016Q2",361,6471,5.58
"2016Q3",386,5926,6.51
"2016Q4",395,6307,6.26
"2017Q1",407,6867,5.93
"2017Q2",433,6429,6.74
"2017Q3",450,5969,7.54
"2017Q4",472,6461,7.31
"2018Q1",491,7097,6.92
"2018Q2",527,6845,7.70
"2018Q3",574,6187,9.28
"2018Q4",591,6601,8.95
"2019Q1",578,7128,8.11
"2019Q2",601,6349,9.47
"2019Q3",638,6299,10.13
"2019Q4",672,6728,9.99
"2020Q1",691,7399,9.34
"2020Q2",722,6429,11.23
"2020Q3",766,6381,12.00
"2020Q4",852,6847,12.44
"2021Q1",922,7347,12.55
"2021Q2",987,7222,13.67
"2021Q3",1035,6779,15.27
"2021Q4",1069,7158,14.93
"2022Q1",1194,7847,15.22
"2022Q2",1287,7524,17.11
"2022Q3",1336,7050,18.95
"2022Q4",1457,7404,19.68
"2023Q1",1497,8038,18.62
"2023Q2",1554,7706,20.17
"2023Q3",1625,7136,22.77
"2023Q4",1663,7701,21.59
"2024Q1",1659,8348,19.87
"2024Q2",1692,7935,21.32
"2024Q3",1793,7513,23.87
"2024Q4",1830,8108,22.57
"2025Q1",1821,8706,20.92
"2025Q2",1894,8127,23.31
"2025Q3",1956,7734,25.29
"2025Q4",1991,8420,23.65
